name,email,type,country
User1,user1@user.com,Admin,Spain
User2,user2@user.com,Admin,Germany
User3,user3@user.com,Viewer,France
User4,user4@user.com,Admin,Italy
User5,user5@user.com,Viewer,Portugal
User6,user6@user.com,Editor,Spain
User7,user7@user.com,Viewer,Netherlands
User8,user8@user.com,Admin,Greece
User9,user9@user.com,Editor,Norway
User10,user10@user.com,Viewer,Spain
User11,user11@user.com,Admin,Denmark
User12,user12@user.com,Editor,Spain
User13,user13@user.com,Viewer,Germany
User14,user14@user.com,Admin,France
User15,user15@user.com,Editor,Italy
User16,user16@user.com,Viewer,Portugal
User17,user17@user.com,Admin,Netherlands
User18,user18@user.com,Editor,Greece
User19,user19@user.com,Viewer,Norway
User20,user20@user.com,Admin,Sweden
User21,user21@user.com,Editor,Denmark
User22,user22@user.com,Viewer,Spain
User23,user23@user.com,Admin,Germany
User24,user24@user.com,Editor,France
User25,user25@user.com,Viewer,Italy
User26,user26@user.com,Admin,Portugal
User27,user27@user.com,Editor,Netherlands
User28,user28@user.com,Viewer,Greece
User29,user29@user.com,Admin,Norway
User30,user30@user.com,Editor,Sweden
